FG%,TRB,PTS
.478,44.7,110.0
.473,42.6,106.7
.463,42.3,105.2
.455,41.5,104.0
.447,47.5,104.0
.444,43.7,103.9
.468,43.6,103.2
.458,43.0,103.1
.450,45.9,102.8
.466,40.6,102.5
.452,43.2,102.4
.433,44.7,101.5
.443,43.8,101.4
.455,44.2,101.3
.442,45.7,100.8
.457,43.5,99.4
.462,44.7,98.5
.432,44.9,98.5
.435,43.9,98.5
.458,42.6,98.3
.451,42.4,98.0
.459,42.1,97.8
.438,40.9,97.8
.439,44.9,97.3
.453,41.8,95.7
.447,44.0,95.1
.456,39.1,94.7
.420,44.1,94.2
.408,42.9,92.0
.428,40.4,91.9
.449,43.3,100.0
