FG%,TRB,PTS
.476,43.1,104.1
.478,43.0,103.7
.471,43.7,103.1
.456,44.2,99.7
.443,42.5,99.0
.436,42.9,98.8
.469,41.6,98.5
.458,41.7,98.4
.449,42.2,98.1
.433,43.7,97.9
.443,41.7,97.8
.457,39.2,97.8
.438,43.9,97.7
.455,41.6,97.5
.457,46.2,97.3
.443,40.7,97.2
.454,41.2,96.6
.452,46.7,96.3
.443,42.8,95.8
.447,42.0,95.0
.441,42.5,94.2
.441,41.7,93.6
.448,43.2,93.6
.425,40.3,93.1
.422,42.3,93.0
.460,38.8,91.8
.438,40.3,90.9
.440,42.0,90.7
.451,41.1,89.6
.414,39.0,87.0
.448,42.2,96.3
