FG%,TRB,PTS
.478,45.0,106.1
.461,43.4,106.0
.481,43.6,105.7
.481,41.3,103.0
.496,38.6,102.9
.458,44.8,102.2
.458,45.0,101.2
.462,41.9,101.1
.478,41.6,101.1
.447,40.6,100.2
.448,40.6,100.0
.435,44.0,98.9
.454,42.0,98.0
.464,40.9,98.0
.448,40.8,97.5
.446,40.2,97.2
.450,42.8,96.9
.434,41.0,96.5
.439,42.0,95.7
.465,39.3,96.5
.443,41.6,95.2
.449,42.1,94.9
.448,42.7,94.1
.448,41.6,94.1
.436,45.9,94.7
.425,40.3,93.4
.444,42.7,93.4
.435,43.2,93.2
.437,43.2,93.2
.444,41.3,93.2
.453,42.1,98.1
