FG%,TRB,PTS
.476,42.0,107.5
.457,40.5,106.5
.454,42.8,105.9
.470,40.2,105.0
.464,42.8,104.8
.475,41.9,103.7
.461,40.5,103.4
.481,42.1,102.1
.463,44.0,101.5
.441,44.4,101.1
.475,41.4,100.2
.471,41.0,99.9
.442,43.5,99.8
.465,39.5,99.4
.449,43.9,99.4
.461,43.2,99.2
.465,40.3,99.1
.461,41.8,99.0
.457,42.1,98.6
.462,44.2,98.6
.443,41.3,97.3
.460,38.6,97.0
.486,38.8,96.5
.447,39.3,96.3
.434,40.3,95.5
.462,39.3,95.0
.459,40.1,94.9
.440,40.8,94.2
.451,40.1,93.3
.430,40.8,91.9
.459,41.4,99.6
