FG%,TRB,PTS
.474,43.0,107.9
.472,45.3,107.7
.444,44.7,106.9
.450,46.4,106.7
.471,44.7,106.2
.486,43.3,105.4
.463,43.0,105.2
.474,40.9,104.8
.447,45.4,104.4
.462,45.3,104.3
.450,41.0,103.0
.501,36.9,102.2
.445,42.5,101.3
.447,45.4,101.0
.458,40.0,101.0
.459,42.2,100.7
.447,44.5,100.5
.459,41.7,99.7
.435,42.7,99.5
.449,40.3,98.6
.459,38.1,98.5
.437,44.1,98.2
.442,42.7,96.9
.449,44.7,96.7
.445,42.0,96.5
.435,42.5,96.2
.464,42.4,96.1
.438,41.1,95.5
.444,41.2,95.0
.432,44.1,93.7
.454,42.7,101.0
