FG%,TRB,PTS
.492,43.0,110.2
.469,38.4,108.8
.468,41.4,106.5
.491,42.2,104.2
.482,40.4,104.1
.470,43.2,102.8
.469,43.5,102.5
.447,42.0,102.4
.485,42.5,102.1
.455,40.4,102.1
.464,41.7,102.0
.457,44.3,101.7
.468,41.7,101.7
.462,43.5,101.5
.473,42.8,101.4
.443,41.5,100.8
.464,40.3,100.2
.456,42.6,100.0
.483,38.6,99.2
.449,42.9,98.2
.461,40.2,98.1
.460,41.0,97.7
.436,43.0,97.7
.451,44.5,97.5
.458,41.8,96.5
.449,41.8,96.2
.455,41.8,95.7
.453,40.8,95.3
.445,40.2,94.0
.429,39.7,92.4
.461,41.7,100.4
